title,original_title,budget,revenue,profit,success,belongs_to_collection,count_language,runtime,genre,genre_encode,genres,release_date,director,actors,actorAwardNominations,actorAwardWins,actorMovies,directorAwardNominations,directorAwardWins,directorMovies
The Mask,The Mask,23000000,351583407.0,328583407.0,1,1,2,101.0,Romance,14,"Romance,Comedy,Crime,Fantasy",1994-07-29,Chuck Russell,Jim Carrey,96,48,62,5,1,9
The Naked Gun 33⅓: The Final Insult,The Naked Gun 33⅓: The Final Insult,30000000,51132598.0,21132598.0,1,1,1,83.0,Comedy,3,"Comedy,Crime",1994-03-18,Peter Segal,Leslie Nielsen,7,7,248,1,0,27
Reality Bites,Reality Bites,11500000,20079850.0,8579850.0,1,0,1,99.0,Drama,6,Drama,1994-02-18,Ben Stiller,Winona Ryder,49,21,62,59,13,18
Red Rock West,Red Rock West,8000000,2000000.0,-6000000.0,0,0,1,98.0,Crime,4,"Crime,Drama,Thriller",1993-07-08,John Dahl,Nicolas Cage,65,45,97,8,5,55
Speed,Speed,30000000,350448145.0,320448145.0,1,1,1,116.0,Action,0,"Action,Adventure,Crime",1994-06-09,Jan de Bont,Keanu Reeves,22,12,96,8,1,5
Timecop,Timecop,27000000,101646581.0,74646581.0,1,1,1,99.0,Thriller,17,"Thriller,Science Fiction,Action,Crime",1994-09-15,Peter Hyams,Jean-Claude Van Damme,9,2,71,7,1,24
True Lies,True Lies,115000000,378882411.0,263882411.0,1,0,4,141.0,Action,0,"Action,Thriller",1994-07-14,James Cameron,Arnold Schwarzenegger,37,25,71,67,70,24
Wyatt Earp,Wyatt Earp,63000000,25052000.0,-37948000.0,0,0,1,191.0,Drama,6,"Drama,Action,Western",1994-06-24,Lawrence Kasdan,Kevin Costner,59,54,61,30,21,12
A Low Down Dirty Shame,A Low Down Dirty Shame,10000000,29392418.0,19392418.0,1,0,1,100.0,Action,0,"Action,Comedy,Crime",1994-11-23,Keenen Ivory Wayans,Keenen Ivory Wayans,14,5,22,14,5,7
Jason's Lyric,Jason's Lyric,7000000,20851521.0,13851521.0,1,0,1,119.0,Crime,4,"Crime,Drama,Romance",1994-09-28,Doug McHenry,Allen Payne,1,0,26,2,0,5
Street Fighter,Street Fighter,35000000,99423521.0,64423521.0,1,1,2,102.0,Action,0,"Action,Adventure,Thriller",1994-12-22,Steven E. de Souza,Jean-Claude Van Damme,9,2,71,2,3,7
Highlander: The Final Dimension,Highlander III: The Sorcerer,26000000,36800000.0,10800000.0,1,1,1,99.0,Action,0,"Action,Fantasy,Science Fiction",1994-11-29,Andrew Morahan,Christopher Lambert,1,1,87,4,3,123
In the Mouth of Madness,In the Mouth of Madness,8000000,8946600.0,946600.0,1,0,1,95.0,Horror,11,"Horror,Mystery,Thriller",1994-12-12,John Carpenter,Sam Neill,28,11,134,19,16,32
The Age of Innocence,The Age of Innocence,34000000,32255440.0,-1744560.0,0,0,2,139.0,Drama,6,"Drama,Romance",1993-09-17,Martin Scorsese,Daniel Day-Lewis,95,143,29,214,142,61
The Air Up There,The Air Up There,17080000,21011500.0,3931500.0,1,0,1,107.0,Comedy,3,"Comedy,Family",1994-01-07,Paul Michael Glaser,Kevin Bacon,27,15,91,6,4,21
Beverly Hills Cop III,Beverly Hills Cop III,50000000,119208989.0,69208989.0,1,1,1,104.0,Action,0,"Action,Comedy,Crime",1994-05-24,John Landis,Eddie Murphy,73,33,56,16,10,45
Body Snatchers,Body Snatchers,13000000,428868.0,-12571132.0,0,0,1,87.0,Horror,11,"Horror,Science Fiction,Thriller",1993-06-09,Abel Ferrara,Gabrielle Anwar,4,0,58,24,19,44
A Bronx Tale,A Bronx Tale,22000000,17287898.0,-4712102.0,0,0,2,121.0,Drama,6,"Drama,Crime",1993-09-14,Robert De Niro,Robert De Niro,99,55,116,99,55,2
Calendar Girl,Calendar Girl,13000000,2570145.0,-10429855.0,0,0,1,90.0,Drama,6,"Drama,Comedy",1993-09-03,John Whitesell,Jason Priestley,13,12,113,2,2,56
Carlito's Way,Carlito's Way,30000000,36516012.0,6516012.0,1,0,2,144.0,Action,0,"Action,Crime,Drama,Thriller",1993-11-10,Brian De Palma,Al Pacino,71,46,59,23,10,43
Cliffhanger,Cliffhanger,70000000,255000211.0,185000211.0,1,0,1,112.0,Action,0,"Action,Adventure,Thriller",1993-05-28,Renny Harlin,Sylvester Stallone,65,59,83,12,3,32
Color of Night,Color of Night,40000000,19726050.0,-20273950.0,0,0,2,121.0,Drama,6,"Drama,Mystery,Romance,Thriller",1994-08-19,Richard Rush,Bruce Willis,38,22,119,7,3,14
Dazed and Confused,Dazed and Confused,6900000,7993039.0,1093039.0,1,0,1,102.0,Comedy,3,"Comedy,Drama",1993-09-24,Richard Linklater,Jason London,2,2,124,145,111,29
Demolition Man,Demolition Man,57000000,159055768.0,102055768.0,1,0,1,115.0,Crime,4,"Crime,Action,Science Fiction",1993-10-08,Marco Brambilla,Sylvester Stallone,65,59,83,0,0,8
For Love or Money,For Love or Money,30000000,11146270.0,-18853730.0,0,0,1,94.0,Comedy,3,"Comedy,Romance",1993-10-01,Barry Sonnenfeld,Michael J. Fox,63,31,71,11,7,23
The Firm,The Firm,42000000,270248367.0,228248367.0,1,0,1,154.0,Drama,6,"Drama,Mystery,Thriller",1993-06-30,Sydney Pollack,Tom Cruise,80,54,46,42,27,41
Free Willy,Free Willy,20000000,153698625.0,133698625.0,1,1,1,112.0,Family,7,"Family,Adventure",1993-07-16,Simon Wincer,Jason James Richter,3,3,28,4,4,49
The Fugitive,The Fugitive,44000000,368875760.0,324875760.0,1,1,1,130.0,Adventure,1,"Adventure,Action,Thriller,Crime,Mystery",1993-08-06,Andrew Davis,Harrison Ford,40,41,80,4,1,16
Geronimo: An American Legend,Geronimo: An American Legend,35000000,18635620.0,-16364380.0,0,0,2,115.0,History,10,"History,Action,Drama,Western",1993-12-10,Walter Hill,Jason Patric,5,3,50,16,14,25
Hard Target,Hard Target,18000000,74189677.0,56189677.0,1,1,1,97.0,Action,0,"Action,Adventure,Crime,Thriller",1993-08-20,John Woo,Jean-Claude Van Damme,9,2,71,15,19,44
Hot Shots! Part Deux,Hot Shots! Part Deux,25000000,133752825.0,108752825.0,1,1,1,86.0,Action,0,"Action,Comedy,War",1993-05-21,Jim Abrahams,Charlie Sheen,24,5,85,2,4,11
In the Line of Fire,In the Line of Fire,40000000,176997168.0,136997168.0,1,0,1,128.0,Action,0,"Action,Drama,Thriller,Crime,Mystery",1993-07-08,Wolfgang Petersen,Clint Eastwood,162,148,72,8,12,30
In the Name of the Father,In the Name of the Father,13000000,65796862.0,52796862.0,1,0,1,133.0,Drama,6,Drama,1993-12-12,Jim Sheridan,Daniel Day-Lewis,95,143,29,50,37,13
Jurassic Park,Jurassic Park,63000000,920100000.0,857100000.0,1,1,2,127.0,Adventure,1,"Adventure,Science Fiction",1993-06-11,Steven Spielberg,Sam Neill,28,11,134,200,190,58
Kalifornia,Kalifornia,9000000,2395231.0,-6604769.0,0,0,1,117.0,Thriller,17,"Thriller,Crime",1993-09-01,Dominic Sena,Brad Pitt,153,67,81,1,3,54
Killing Zoe,Killing Zoe,1500000,418961.0,-1081039.0,0,0,2,96.0,Action,0,"Action,Crime,Drama,Thriller",1993-10-01,Roger Avary,Eric Stoltz,4,10,124,3,14,8
Last Action Hero,Last Action Hero,85000000,137298489.0,52298489.0,1,0,1,130.0,Adventure,1,"Adventure,Fantasy,Action,Comedy,Family",1993-06-18,John McTiernan,Arnold Schwarzenegger,37,25,71,5,6,11
Manhattan Murder Mystery,Manhattan Murder Mystery,13500000,11285588.0,-2214412.0,0,0,1,104.0,Comedy,3,"Comedy,Mystery",1993-08-18,Woody Allen,Woody Allen,213,136,48,213,136,55
Menace II Society,Menace II Society,3500000,27900000.0,24400000.0,1,0,1,97.0,Drama,6,"Drama,Action,Crime",1993-05-26,Albert Hughes,Tyrin Turner,1,0,38,7,1,10
Executive Decision,Executive Decision,55000000,121969216.0,66969216.0,1,0,1,133.0,Action,0,"Action,Adventure,Drama,Thriller",1996-03-15,Stuart Baird,Kurt Russell,13,7,99,15,2,3
Mrs. Doubtfire,Mrs. Doubtfire,25000000,441286195.0,416286195.0,1,0,1,125.0,Comedy,3,"Comedy,Drama,Family",1993-11-24,Chris Columbus,Robin Williams,86,64,108,21,7,21
The Next Karate Kid,The Next Karate Kid,12000000,15826984.0,3826984.0,1,1,1,107.0,Adventure,1,Adventure,1994-07-18,Christopher Cain,Pat Morita,5,2,173,2,1,22
No Escape,No Escape,20000000,15340000.0,-4660000.0,0,0,1,118.0,Action,0,"Action,Drama,Science Fiction,Thriller",1994-04-29,Martin Campbell,Ray Liotta,10,9,115,2,3,34
A Perfect World,A Perfect World,30000000,135130999.0,105130999.0,1,0,1,138.0,Crime,4,"Crime,Drama,Thriller",1993-11-24,Clint Eastwood,Kevin Costner,59,54,61,162,148,40
Philadelphia,Philadelphia,26000000,206678440.0,180678440.0,1,0,1,125.0,Drama,6,Drama,1993-12-22,Jonathan Demme,Tom Hanks,152,84,88,36,30,68
The Piano,The Piano,7000000,116700000.0,109700000.0,1,0,2,121.0,Drama,6,"Drama,Romance",1993-05-19,Jane Campion,Holly Hunter,88,44,60,50,53,18
Poetic Justice,Poetic Justice,14000000,27515786.0,13515786.0,1,0,2,109.0,Drama,6,"Drama,Romance",1993-07-23,John Singleton,Janet Jackson,122,74,49,25,15,18
The Ref,The Ref,11000000,11439193.0,439193.0,1,0,1,97.0,Comedy,3,Comedy,1994-03-09,Ted Demme,Denis Leary,19,5,67,5,2,18
The Remains of the Day,The Remains of the Day,11500000,23237911.0,11737911.0,1,0,1,134.0,Drama,6,"Drama,Romance",1993-11-05,James Ivory,Anthony Hopkins,63,50,134,52,50,35
Renaissance Man,Renaissance Man,40000000,24332324.0,-15667676.0,0,0,2,128.0,Comedy,3,"Comedy,War",1994-06-03,Penny Marshall,Danny DeVito,39,14,132,6,18,15
RoboCop 3,RoboCop 3,22000000,10696210.0,-11303790.0,0,1,2,104.0,Action,0,"Action,Adventure,Crime,Science Fiction,Thriller",1993-04-17,Fred Dekker,Robert John Burke,3,0,87,2,2,4
Robin Hood: Men in Tights,Robin Hood: Men in Tights,20000000,35739755.0,15739755.0,1,0,1,104.0,Comedy,3,Comedy,1993-07-28,Mel Brooks,Cary Elwes,7,0,123,31,24,12
Romeo Is Bleeding,Romeo Is Bleeding,11500000,3275585.0,-8224415.0,0,0,1,100.0,Action,0,"Action,Crime,Drama,Thriller",1993-09-13,Peter Medak,Gary Oldman,75,58,97,3,1,68
Ruby in Paradise,Ruby in Paradise,800000,1001437.0,201437.0,1,0,1,114.0,Drama,6,"Drama,Romance",1993-10-08,Victor Nunez,Ashley Judd,18,7,52,10,5,9
Rudy,Rudy,12000000,22750363.0,10750363.0,1,0,2,114.0,Drama,6,Drama,1993-09-17,David Anspaugh,Sean Astin,23,21,143,5,5,19
Schindler's List,Schindler's List,22000000,321365567.0,299365567.0,1,0,4,195.0,Drama,6,"Drama,History,War",1993-11-29,Steven Spielberg,Liam Neeson,40,23,128,200,190,58
Serial Mom,Serial Mom,13000000,7820688.0,-5179312.0,0,0,1,95.0,Comedy,3,"Comedy,Crime,Horror,Thriller",1994-04-13,John Waters,Kathleen Turner,19,14,61,5,5,18
The Shadow,The Shadow,25000000,48063435.0,23063435.0,1,1,1,108.0,Adventure,1,"Adventure,Fantasy,Action,Thriller,Science Fiction",1994-07-01,Russell Mulcahy,Alec Baldwin,100,46,141,5,3,111
Sleepless in Seattle,Sleepless in Seattle,21000000,227799884.0,206799884.0,1,0,1,105.0,Comedy,3,"Comedy,Drama,Romance",1993-06-24,Nora Ephron,Tom Hanks,152,84,88,21,11,8
Sliver,Sliver,40000000,116300000.0,76300000.0,1,0,1,108.0,Drama,6,"Drama,Thriller",1993-05-21,Phillip Noyce,Sharon Stone,36,24,145,10,24,60
Blade Runner,Blade Runner,28000000,33139618.0,5139618.0,1,1,5,117.0,Science Fiction,15,"Science Fiction,Drama,Thriller",1982-06-25,Ridley Scott,Harrison Ford,40,41,80,93,47,48
So I Married an Axe Murderer,So I Married an Axe Murderer,20000000,11585483.0,-8414517.0,0,0,2,93.0,Comedy,3,"Comedy,Crime,Romance",1993-07-30,Thomas Schlamme,Mike Myers,43,29,52,29,18,61
Super Mario Bros.,Super Mario Bros.,48000000,20915465.0,-27084535.0,0,0,1,104.0,Adventure,1,"Adventure,Comedy,Family,Fantasy",1993-05-28,Annabel Jankel,Bob Hoskins,15,24,119,2,2,12
Surviving the Game,Surviving the Game,7400000,7690013.0,290013.0,1,0,1,96.0,Action,0,"Action,Adventure,Thriller,Crime",1994-04-15,Ernest R. Dickerson,Ice-T,10,2,88,18,9,68
Terminal Velocity,Terminal Velocity,50000000,16478900.0,-33521100.0,0,0,1,102.0,Action,0,"Action,Thriller",1994-09-23,Deran Sarafian,Charlie Sheen,24,5,85,0,0,1
The Nightmare Before Christmas,The Nightmare Before Christmas,18000000,75634409.0,57634409.0,1,0,1,76.0,Fantasy,8,"Fantasy,Animation,Family",1993-10-09,Henry Selick,Danny Elfman,100,80,12,15,9,12
The Three Musketeers,The Three Musketeers,30000000,53898845.0,23898845.0,1,0,1,105.0,Action,0,"Action,Adventure,Comedy",1993-11-11,Stephen Herek,Charlie Sheen,24,5,85,5,5,30
Tombstone,Tombstone,25000000,56505065.0,31505065.0,1,0,3,130.0,Action,0,"Action,Adventure,Drama,History,Western",1993-12-25,George P. Cosmatos,Kurt Russell,13,7,99,2,1,11
True Romance,True Romance,12500000,12281551.0,-218449.0,0,0,2,120.0,Action,0,"Action,Thriller,Crime,Romance",1993-09-09,Tony Scott,Christian Slater,18,8,124,15,6,29
The Pagemaster,The Pagemaster,27000000,13670688.0,-13329312.0,0,0,5,80.0,Fantasy,8,"Fantasy,Science Fiction,Family,Animation",1994-11-23,Joe Johnston,Macaulay Culkin,7,5,35,7,2,15
Home Alone,Home Alone,18000000,476684675.0,458684675.0,1,1,1,103.0,Comedy,3,"Comedy,Family",1990-11-09,Chris Columbus,Macaulay Culkin,7,5,35,21,7,21
Ghost,Ghost,22000000,505000000.0,483000000.0,1,0,1,127.0,Fantasy,8,"Fantasy,Drama,Thriller,Mystery,Romance",1990-07-12,Jerry Zucker,Patrick Swayze,11,10,51,6,7,7
Aladdin,Aladdin,28000000,504050219.0,476050219.0,1,1,1,90.0,Animation,2,"Animation,Family,Comedy,Adventure,Fantasy,Romance",1992-11-25,Ron Clements,Scott Weinger,2,1,38,17,13,8
Terminator 2: Judgment Day,Terminator 2: Judgment Day,100000000,520000000.0,420000000.0,1,1,2,137.0,Action,0,"Action,Thriller,Science Fiction",1991-07-01,James Cameron,Arnold Schwarzenegger,37,25,71,67,70,24
Dances with Wolves,Dances with Wolves,22000000,424208848.0,402208848.0,1,0,1,181.0,Adventure,1,"Adventure,Drama,Western",1990-11-09,Kevin Costner,Kevin Costner,59,54,61,59,54,3
Batman,Batman,35000000,411348924.0,376348924.0,1,1,2,126.0,Fantasy,8,"Fantasy,Action",1989-06-23,Tim Burton,Jack Nicholson,104,87,77,72,23,38
The Silence of the Lambs,The Silence of the Lambs,19000000,272742922.0,253742922.0,1,1,1,119.0,Crime,4,"Crime,Drama,Thriller",1991-02-01,Jonathan Demme,Jodie Foster,50,59,80,36,30,68
Snow White and the Seven Dwarfs,Snow White and the Seven Dwarfs,1488423,184925486.0,183437063.0,1,0,1,83.0,Fantasy,8,"Fantasy,Animation,Family",1937-12-20,David Hand,Adriana Caselotti,0,0,5,1,1,34
Beauty and the Beast,Beauty and the Beast,25000000,377350553.0,352350553.0,1,1,2,84.0,Romance,14,"Romance,Family,Animation,Fantasy,Music",1991-11-13,Gary Trousdale,"""Paige OHara""",2,0,22,5,1,12
Pinocchio,Pinocchio,2600000,84300000.0,81700000.0,1,0,1,88.0,Animation,2,"Animation,Family",1940-02-23,Hamilton Luske,Mel Blanc,1,1,1,7,5,33
Pretty Woman,Pretty Woman,14000000,463000000.0,449000000.0,1,0,3,119.0,Romance,14,"Romance,Comedy",1990-03-23,Garry Marshall,Julia Roberts,98,59,62,14,18,30
The Wild Bunch,The Wild Bunch,6244087,638641.0,-5605446.0,0,0,3,145.0,Adventure,1,"Adventure,Western",1969-06-17,Sam Peckinpah,William Holden,17,11,76,7,7,26
Fargo,Fargo,7000000,60611975.0,53611975.0,1,0,1,98.0,Crime,4,"Crime,Drama,Thriller",1996-04-05,Joel Coen,William H. Macy,65,42,137,296,138,25
Hellraiser: Bloodline,Hellraiser: Bloodline,4000000,16675000.0,12675000.0,1,1,1,86.0,Horror,11,"Horror,Thriller,Science Fiction",1996-03-08,Kevin Yagher,Bruce Ramsay,1,0,80,12,3,2
The Aristocats,The Aristocats,4000000,55675257.0,51675257.0,1,0,1,78.0,Animation,2,"Animation,Comedy,Family,Adventure",1970-12-23,Wolfgang Reitherman,Phil Harris,3,0,42,6,6,17
Primal Fear,Primal Fear,30000000,102616183.0,72616183.0,1,0,2,129.0,Crime,4,"Crime,Drama,Mystery,Thriller",1996-04-03,Gregory Hoblit,Richard Gere,28,21,59,20,11,21
Girl 6,Girl 6,12000000,4939939.0,-7060061.0,0,0,1,108.0,Comedy,3,Comedy,1996-03-22,Spike Lee,Theresa Randle,1,0,29,78,53,82
Courage Under Fire,Courage Under Fire,46000000,100860818.0,54860818.0,1,0,1,117.0,Drama,6,"Drama,Thriller,Mystery,War",1996-07-04,Edward Zwick,Denzel Washington,168,83,56,22,23,25
Mission: Impossible,Mission: Impossible,80000000,457696359.0,377696359.0,1,1,3,110.0,Adventure,1,"Adventure,Action,Thriller",1996-05-22,Brian De Palma,Tom Cruise,80,54,46,23,10,43
DragonHeart,DragonHeart,57000000,115267375.0,58267375.0,1,1,1,103.0,Fantasy,8,Fantasy,1996-05-31,Rob Cohen,Dennis Quaid,27,13,96,3,1,26
James and the Giant Peach,James and the Giant Peach,38000000,28921264.0,-9078736.0,0,0,1,79.0,Adventure,1,"Adventure,Animation,Family",1996-04-12,Henry Selick,Miriam Margolyes,3,1,173,15,9,12
Faithful,Faithful,13000000,9789900.0,-3210100.0,0,0,1,91.0,Comedy,3,"Comedy,Crime,Drama",1996-04-03,Paul Mazursky,Cher,54,35,36,27,22,19
Space Jam,Space Jam,80000000,250200000.0,170200000.0,1,0,1,88.0,Animation,2,"Animation,Comedy,Drama,Family,Fantasy",1996-11-15,Joe Pytka,Michael Jordan,40,23,45,12,5,24
Barbarella,Barbarella,9000000,2500000.0,-6500000.0,0,0,1,98.0,Science Fiction,15,Science Fiction,1968-10-10,Roger Vadim,Jane Fonda,63,55,57,2,0,31
Mrs. Winterbourne,Mrs. Winterbourne,25000000,10070000.0,-14930000.0,0,0,1,105.0,Comedy,3,"Comedy,Romance,Drama",1996-04-19,Richard Benjamin,Shirley MacLaine,71,46,76,7,2,22
The Quest,The Quest,30000000,57400547.0,27400547.0,1,0,1,95.0,Action,0,"Action,Adventure",1996-04-19,Jean-Claude Van Damme,Jean-Claude Van Damme,9,2,71,9,2,3
Oliver & Company,Oliver & Company,31000000,74151346.0,43151346.0,1,0,1,74.0,Animation,2,"Animation,Comedy,Family",1988-11-18,George Scribner,Joey Lawrence,9,1,75,0,0,4
Flipper,Flipper,25530000,20080020.0,-5449980.0,0,0,1,95.0,Adventure,1,"Adventure,Family",1996-05-17,Alan Shapiro,Elijah Wood,44,26,104,3,0,8
The Horseman on the Roof,Le Hussard sur le toit,35000000,15000000.0,-20000000.0,0,0,2,135.0,War,18,"War,Adventure,Drama,Romance",1995-09-20,Jean-Paul Rappeneau,Juliette Binoche,53,34,73,14,11,9
The Craft,The Craft,15000000,24769466.0,9769466.0,1,0,1,101.0,Drama,6,"Drama,Fantasy,Horror,Thriller",1996-05-03,Andrew Fleming,Robin Tunney,4,3,50,4,1,27
Original Gangstas,Original Gangstas,4800000,3014000.0,-1786000.0,0,0,2,99.0,Action,0,"Action,Drama,Crime,Thriller",1996-05-10,Larry Cohen,Fred Williamson,2,1,130,2,3,21
The Rock,The Rock,75000000,335062621.0,260062621.0,1,0,1,136.0,Action,0,"Action,Adventure,Thriller",1996-06-06,Michael Bay,Sean Connery,29,38,93,11,8,57
Twister,Twister,92000000,494471524.0,402471524.0,1,0,1,113.0,Action,0,"Action,Adventure,Drama",1996-05-10,Jan de Bont,Helen Hunt,68,47,105,8,1,5
The Arrival,The Arrival,25000000,14048372.0,-10951628.0,0,1,1,115.0,Action,0,"Action,Mystery,Science Fiction,Thriller",1996-05-31,David Twohy,Charlie Sheen,24,5,85,8,1,9
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1800000,9440272.0,7640272.0,1,0,1,95.0,Drama,6,"Drama,Comedy,War",1964-01-29,Stanley Kubrick,Peter Sellers,20,12,87,58,40,16
The Phantom,The Phantom,45000000,17300889.0,-27699111.0,0,0,1,100.0,Adventure,1,"Adventure,Action",1996-06-06,Simon Wincer,Billy Zane,4,2,155,4,4,49
Striptease,Striptease,50000000,113309743.0,63309743.0,1,0,1,115.0,Drama,6,"Drama,Thriller,Crime",1996-06-28,Andrew Bergman,Demi Moore,28,15,62,2,5,6
Jack,Jack,45000000,58620973.0,13620973.0,1,0,1,113.0,Comedy,3,"Comedy,Drama,Science Fiction",1996-08-09,Francis Ford Coppola,Robin Williams,86,64,108,53,52,35
Trainspotting,Trainspotting,4000000,16491080.0,12491080.0,1,1,1,93.0,Drama,6,"Drama,Crime",1996-02-23,Danny Boyle,Ewan McGregor,48,29,83,84,82,30
Independence Day,Independence Day,75000000,816969268.0,741969268.0,1,1,1,145.0,Action,0,"Action,Adventure,Science Fiction",1996-06-25,Roland Emmerich,Will Smith,125,62,78,16,16,25
The Fan,The Fan,55000000,18626419.0,-36373581.0,0,0,1,116.0,Drama,6,"Drama,Mystery,Thriller",1996-08-15,Tony Scott,Robert De Niro,99,55,116,15,6,29
The Hunchback of Notre Dame,The Hunchback of Notre Dame,100000000,100138851.0,138851.0,1,1,2,91.0,Drama,6,"Drama,Animation,Family",1996-06-21,Gary Trousdale,Tom Hulce,10,5,31,5,1,12
The Cable Guy,The Cable Guy,47000000,102825796.0,55825796.0,1,0,1,96.0,Comedy,3,"Comedy,Drama,Thriller",1996-06-10,Ben Stiller,Jim Carrey,96,48,62,59,13,18
Kingpin,Kingpin,27000000,25023434.0,-1976566.0,0,0,1,113.0,Comedy,3,Comedy,1996-07-04,Bobby Farrelly,Woody Harrelson,91,30,94,4,3,18
Eraser,Eraser,100000000,242295562.0,142295562.0,1,0,1,115.0,Action,0,"Action,Drama,Mystery,Thriller",1996-06-21,Chuck Russell,Arnold Schwarzenegger,37,25,71,5,1,9
The Nutty Professor,The Nutty Professor,54000000,128769345.0,74769345.0,1,1,1,95.0,Fantasy,8,"Fantasy,Comedy,Romance,Science Fiction",1996-06-26,Tom Shadyac,Eddie Murphy,73,33,56,2,2,12
Daylight,Daylight,80000000,159212469.0,79212469.0,1,0,1,115.0,Action,0,"Action,Adventure,Thriller",1996-12-06,Rob Cohen,Sylvester Stallone,65,59,83,3,1,26
The Frighteners,The Frighteners,30000000,29359216.0,-640784.0,0,0,1,110.0,Horror,11,"Horror,Comedy",1996-07-18,Peter Jackson,Michael J. Fox,63,31,71,134,137,21
Lone Star,Lone Star,5000000,13269963.0,8269963.0,1,0,2,135.0,Drama,6,"Drama,Mystery,Romance",1996-06-21,John Sayles,Chris Cooper,43,35,73,33,30,24
Phenomenon,Phenomenon,32000000,152036382.0,120036382.0,1,0,1,123.0,Drama,6,"Drama,Fantasy,Romance,Science Fiction",1996-07-05,Jon Turteltaub,John Travolta,58,54,77,2,0,20
She's the One,She's the One,3500000,9482579.0,5982579.0,1,0,2,96.0,Comedy,3,"Comedy,Romance",1996-08-26,Edward Burns,Edward Burns,5,10,35,5,10,15
A Time to Kill,A Time to Kill,40000000,152266007.0,112266007.0,1,0,1,149.0,Crime,4,"Crime,Drama,Thriller",1996-07-24,Joel Schumacher,Matthew McConaughey,80,48,68,9,9,34
Fled,Fled,25000000,17193231.0,-7806769.0,0,0,1,98.0,Action,0,"Action,Comedy,Thriller",1996-07-19,Kevin Hooks,Laurence Fishburne,66,25,113,14,2,90
Joe's Apartment,Joe's Apartment,13000000,4619014.0,-8380986.0,0,0,1,78.0,Fantasy,8,"Fantasy,Comedy,Music",1996-07-26,John Payson,"""Jerry OConnell""",2,1,115,3,3,5
The First Wives Club,The First Wives Club,26000000,116400000.0,90400000.0,1,0,1,102.0,Comedy,3,Comedy,1996-09-20,Hugh Wilson,Goldie Hawn,34,21,35,8,5,17
Ransom,Ransom,80000000,309492681.0,229492681.0,1,0,1,117.0,Action,0,"Action,Thriller",1996-11-08,Ron Howard,Mel Gibson,41,43,61,75,39,43
Chain Reaction,Chain Reaction,50000000,60209334.0,10209334.0,1,0,1,107.0,Action,0,"Action,Drama,Science Fiction,Thriller",1996-08-02,Andrew Davis,Keanu Reeves,22,12,96,4,1,16
Matilda,Matilda,36000000,33459416.0,-2540584.0,0,0,1,98.0,Comedy,3,"Comedy,Family,Fantasy",1996-08-02,Danny DeVito,Mara Wilson,6,3,20,39,14,23
Emma,Emma,6000000,22231658.0,16231658.0,1,0,1,121.0,Drama,6,"Drama,Comedy,Romance",1996-08-02,Douglas McGrath,Gwyneth Paltrow,51,23,56,0,0,1
The Crow: City of Angels,The Crow: City of Angels,13000000,17917287.0,4917287.0,1,1,2,84.0,Action,0,"Action,Fantasy,Thriller",1996-08-29,Tim Pope,Vincent Pérez,3,8,207,0,0,64
Bordello of Blood,Bordello of Blood,15000000,5600000.0,-9400000.0,0,1,2,87.0,Horror,11,"Horror,Comedy",1996-08-16,Gilbert Adler,Dennis Miller,0,0,99,5,0,6
The Spitfire Grill,The Spitfire Grill,6000000,12643776.0,6643776.0,1,0,1,117.0,Comedy,3,"Comedy,Drama",1996-08-23,Lee David Zlotoff,Alison Elliott,2,1,34,2,2,6
Escape from L.A.,Escape from L.A.,50000000,42277365.0,-7722635.0,0,1,1,97.0,Action,0,"Action,Adventure,Science Fiction,Thriller",1996-08-09,John Carpenter,Kurt Russell,13,7,99,19,16,32
Basquiat,Basquiat,2962051,3011195.0,49144.0,1,0,2,108.0,Drama,6,"Drama,History",1996-08-09,Julian Schnabel,Jeffrey Wright,39,14,65,31,28,6
